Index,Year,Time,Athlete,Country
0,1897,02:55:10,John J. McDermott,United States (NY)
0,1898,02:42:00,Ronald J. MacDonald,Canada
0,1899,02:54:38,Lawrence Brignolia,United States (MA)
0,1900,02:39:44,John Jack Caffery,Canada
0,1901,02:29:23,John Jack Caffery,Canada
0,1902,02:43:12,Sammy Mellor,United States (NY)
0,1903,02:41:29,John Lorden,United States (MA)
0,1904,02:38:04,Michael Spring,United States (NY)
0,1905,02:38:25,Frederick Lorz,United States (NY)
0,1906,02:45:45,Tim Ford,United States (MA)
0,1907,02:24:24,Thomas Longboat,Canada
0,1908,02:25:43,Thomas Morrissey,United States (NY)
0,1909,02:53:36,Henri Renaud,United States (NH)
0,1910,02:28:52,Fred Cameron,Canada
0,1911,02:21:39,Clarence DeMar,United States (MA)
0,1912,02:21:18,Michael J. Ryan,United States (NY)
0,1913,02:25:14,Fritz Carlson,United States (MN)
0,1914,02:25:14,James Duffy,Canada
0,1915,02:31:41,Edouard Fabre,Canada
0,1916,02:27:16,Arthur Roth,United States (MA)
0,1917,02:28:37,Bill Kennedy,United States (NY)
0,1918,02:29:53,Camp Devens relay team[3],United States (MA)
0,1919,02:29:13,Carl Linder,United States (MA)
0,1920,02:29:31,Peter Trivoulides,Greece
0,1921,02:18:57,Frank Zuna,United States (NY)
0,1922,02:18:10,Clarence DeMar,United States (MA)
0,1923,02:23:47,Clarence DeMar,United States (MA)
0,1924,02:29:40,Clarence DeMar,United States (MA)
0,1925,02:33:00,Charles Mellor,United States (IL)
0,1926,02:25:40,Johnny Miles,Canada
0,1927,02:40:22,Clarence DeMar,United States (MA)
0,1928,02:37:07,Clarence DeMar,United States (MA)
0,1929,02:33:08,Johnny Miles,Canada
0,1930,02:34:48,Clarence DeMar,United States (MA)
0,1931,02:46:45,James Henigan,United States (MA)
0,1932,02:33:36,Paul de Bruyn,Germany
0,1933,02:31:01,Leslie S. Pawson,United States (RI)
0,1934,02:32:53,Dave Komonen,Canada
0,1935,02:32:07,John A. Kelley,United States (MA)
0,1936,02:33:40,Ellison Brown,United States (RI)
0,1937,02:33:20,Walter Young,Canada
0,1938,02:35:34,Leslie S. Pawson,United States (RI)
0,1939,02:28:51,Ellison Brown,United States (RI)
0,1940,02:28:28,Gerard Cote,Canada
0,1941,02:30:38,Leslie S. Pawson,United States (RI)
0,1942,02:26:51,Joe Smith,United States (MA)
0,1943,02:28:25,Gerard Cote,Canada
0,1944,02:31:50,Gerard Cote,Canada
0,1945,02:30:40,John A. Kelley,United States (MA)
0,1946,02:29:27,Stylianos Kyriakides,Greece
0,1947,02:25:39,Suh Yun-bok,South Korea
0,1948,02:31:02,Gerard Cote,Canada
0,1949,02:31:50,Gosta Leandersson,Sweden
0,1950,02:32:39,Ham Kee-Yong,South Korea
0,1951,02:27:45,Shigeki Tanaka,Japan
0,1952,02:31:53,Doroteo Flores,Guatemala
0,1953,02:18:51,Keizo Yamada,Japan
0,1954,02:20:39,Veikko Karvonen,Finland
0,1955,02:18:22,Hideo Hamamura,Japan
0,1956,02:14:14,Antti Viskari,Finland
0,1957,02:20:05,John J. Kelley,United States (CT)
0,1958,02:25:54,Franjo Mihali?,Yugoslavia
0,1959,02:22:42,Eino Oksanen,Finland
0,1960,02:20:54,Paavo Kotila,Finland
0,1961,02:23:39,Eino Oksanen,Finland
0,1962,02:23:48,Eino Oksanen,Finland
0,1963,02:18:58,Aurele Vandendriessche,Belgium
0,1964,02:19:59,Aurele Vandendriessche,Belgium
0,1965,02:16:33,Morio Shigematsu,Japan
0,1966,02:17:11,Kenji Kimihara,Japan
0,1967,02:15:45,Dave McKenzie,New Zealand
0,1968,02:22:17,Amby Burfoot,United States (CT)
0,1969,02:13:49,Yoshiaki Unetani,Japan
0,1970,02:10:30,Ron Hill,United Kingdom
0,1971,02:18:45,Alvaro Mejia,Colombia
0,1972,02:15:39,Olavi Suomalainen,Finland
0,1973,02:16:03,Jon Anderson,United States (OR)
0,1974,02:13:39,Neil Cusack,Ireland
0,1975,02:09:55,Bill Rodgers,United States (MA)
0,1976,02:20:19,Jack Fultz,United States (VA)
0,1977,02:14:46,Jerome Drayton,Canada
0,1978,02:10:13,Bill Rodgers,United States (MA)
0,1979,02:09:27,Bill Rodgers,United States (MA)
0,1980,02:12:11,Bill Rodgers,United States (MA)
0,1981,02:09:26,Toshihiko Seko,Japan
0,1982,02:08:52,Alberto Salazar,United States (MA)
0,1983,02:09:00,Greg Meyer,United States (MI)
0,1984,02:10:34,Geoff Smith,United Kingdom
0,1985,02:14:05,Geoff Smith,United Kingdom
0,1986,02:07:51,Robert de Castella,Australia
0,1987,02:11:50,Toshihiko Seko,Japan
0,1988,02:08:43,Ibrahim Hussein,Kenya
0,1989,02:09:06,Abebe Mekonnen,Ethiopia
0,1990,02:08:19,Gelindo Bordin,Italy
0,1991,02:11:06,Ibrahim Hussein,Kenya
0,1992,02:08:14,Ibrahim Hussein,Kenya
0,1993,02:09:33,Cosmas Ndeti,Kenya
0,1994,02:07:15,Cosmas Ndeti,Kenya
0,1995,02:09:22,Cosmas Ndeti,Kenya
0,1996,02:09:15,Moses Tanui,Kenya
0,1997,02:10:34,Lameck Aguta,Kenya
0,1998,02:07:34,Moses Tanui,Kenya
0,1999,02:09:52,Joseph Chebet,Kenya
0,2000,02:09:47,Elijah Lagat,Kenya
0,2001,02:09:43,Lee Bong-Ju,South Korea
0,2002,02:09:02,Rodgers Rop,Kenya
0,2003,02:10:11,Robert Kipkoech Cheruiyot,Kenya
0,2004,02:10:37,Timothy Cherigat,Kenya
0,2005,02:11:44,Hailu Negussie,Ethiopia
0,2006,02:07:14,Robert Kipkoech Cheruiyot,Kenya
0,2007,02:14:13,Robert Kipkoech Cheruiyot,Kenya
0,2008,02:07:45,Robert Kipkoech Cheruiyot,Kenya
0,2009,02:08:42,Deriba Merga,Ethiopia
0,2010,02:05:52,Robert Kiprono Cheruiyot,Kenya
0,2011,02:03:02,Geoffrey Mutai,Kenya
0,2012,02:12:40,Wesley Korir,Kenya
0,2013,02:10:22,Lelisa Desisa Benti,Ethiopia
0,2014,02:08:37,Meb Keflezighi,United States (CA)
0,2015,02:09:17,Lelisa Desisa Benti,Ethiopia
0,2016,02:12:45,Lemi Berhanu Hayle,Ethiopia
0,2017,02:09:37,Geoffrey Kirui,Kenya
1,1966,03:21:40,Bobbi Gibb,United States (MA)
1,1967,03:27:17,Bobbi Gibb,United States (CA)
1,1968,03:30:00,Bobbi Gibb,United States (CA)
1,1969,03:22:46,Sara Mae Berman,United States (MA)
1,1970,03:05:07,Sara Mae Berman,United States (MA)
1,1971,03:08:30,Sara Mae Berman,United States (MA)
1,1972,03:10:26,Nina Kuscsik,United States (NY)
1,1973,03:05:59,Jacqueline Hansen,United States (CA)
1,1974,02:47:11,Miki Gorman,United States (CA)
1,1975,02:42:24,Liane Winter,West Germany
1,1976,02:47:10,Kim Merritt,United States (WI)
1,1977,02:48:33,Miki Gorman,United States (CA)
1,1978,02:44:52,Gayle Barron,United States (GA)
1,1979,02:35:15,Joan Benoit,United States (ME)
1,1980,02:34:28,Jacqueline Gareau,Canada
1,1981,02:26:46,Allison Roe,New Zealand
1,1982,02:29:33,Charlotte Teske,West Germany
1,1983,02:22:43,Joan Benoit,United States (ME)
1,1984,02:29:28,Lorraine Moller,New Zealand
1,1985,02:34:06,Lisa Larsen Weidenbach,United States (MI)
1,1986,02:24:55,Ingrid Kristiansen,Norway
1,1987,02:25:21,Rosa Mota,Portugal
1,1988,02:24:30,Rosa Mota,Portugal
1,1989,02:24:33,Ingrid Kristiansen,Norway
1,1990,02:25:24,Rosa Mota,Portugal
1,1991,02:24:18,Wanda Panfil,Poland
1,1992,02:23:43,Olga Markova,Russia
1,1993,02:25:27,Olga Markova,Russia
1,1994,02:21:45,Uta Pippig,Germany
1,1995,02:25:11,Uta Pippig,Germany
1,1996,02:27:12,Uta Pippig,Germany
1,1997,02:26:23,Fatuma Roba,Ethiopia
1,1998,02:23:21,Fatuma Roba,Ethiopia
1,1999,02:23:25,Fatuma Roba,Ethiopia
1,2000,02:26:11,Catherine Ndereba,Kenya
1,2001,02:23:53,Catherine Ndereba,Kenya
1,2002,02:20:43,Margaret Okayo,Kenya
1,2003,02:25:19,Svetlana Zakharova,Russia
1,2004,02:24:27,Catherine Ndereba,Kenya
1,2005,02:25:12,Catherine Ndereba,Kenya
1,2006,02:23:38,Rita Jeptoo,Kenya
1,2007,02:29:18,Lidiya Grigoryeva,Russia
1,2008,02:25:25,Dire Tune,Ethiopia
1,2009,02:32:16,Salina Kosgei,Kenya
1,2010,02:26:11,Teyba Erkesso,Ethiopia
1,2011,02:22:36,Caroline Kilel,Kenya
1,2012,02:31:50,Sharon Cherop,Kenya
1,2013,02:26:25,Rita Jeptoo,Kenya
1,2014,02:18:57,Rita Jeptoo,Kenya
1,2014,02:19:59,Bizunesh Deba,Ethiopia
1,2015,02:24:55,Caroline Rotich,Kenya
1,2016,02:29:19,Atsede Baysa,Ethiopia
1,2017,02:21:52,Edna Kiplagat,Kenya
