Year,Time
1897,02:55:10
1898,02:42:00
1899,02:54:38
1900,02:39:44
1901,02:29:23
1902,02:43:12
1903,02:41:29
1904,02:38:04
1905,02:38:25
1906,02:45:45
1907,02:24:24
1908,02:25:43
1909,02:53:36
1910,02:28:52
1911,02:21:39
1912,02:21:18
1913,02:25:14
1914,02:25:14
1915,02:31:41
1916,02:27:16
1917,02:28:37
1918,02:29:53
1919,02:29:13
1920,02:29:31
1921,02:18:57
1922,02:18:10
1923,02:23:47
1924,02:29:40
1925,02:33:00
1926,02:25:40
1927,02:40:22
1928,02:37:07
1929,02:33:08
1930,02:34:48
1931,02:46:45
1932,02:33:36
1933,02:31:01
1934,02:32:53
1935,02:32:07
1936,02:33:40
1937,02:33:20
1938,02:35:34
1939,02:28:51
1940,02:28:28
1941,02:30:38
1942,02:26:51
1943,02:28:25
1944,02:31:50
1945,02:30:40
1946,02:29:27
1947,02:25:39
1948,02:31:02
1949,02:31:50
1950,02:32:39
1951,02:27:45
1952,02:31:53
1953,02:18:51
1954,02:20:39
1955,02:18:22
1956,02:14:14
1957,02:20:05
1958,02:25:54
1959,02:22:42
1960,02:20:54
1961,02:23:39
1962,02:23:48
1963,02:18:58
1964,02:19:59
1965,02:16:33
1966,02:17:11
1967,02:15:45
1968,02:22:17
1969,02:13:49
1970,02:10:30
1971,02:18:45
1972,02:15:39
1973,02:16:03
1974,02:13:39
1975,02:09:55
1976,02:20:19
1977,02:14:46
1978,02:10:13
1979,02:09:27
1980,02:12:11
1981,02:09:26
1982,02:08:52
1983,02:09:00
1984,02:10:34
1985,02:14:05
1986,02:07:51
1987,02:11:50
1988,02:08:43
1989,02:09:06
1990,02:08:19
1991,02:11:06
1992,02:08:14
1993,02:09:33
1994,02:07:15
1995,02:09:22
1996,02:09:15
1997,02:10:34
1998,02:07:34
1999,02:09:52
2000,02:09:47
2001,02:09:43
2002,02:09:02
2003,02:10:11
2004,02:10:37
2005,02:11:44
2006,02:07:14
2007,02:14:13
2008,02:07:45
2009,02:08:42
2010,02:05:52
2011,02:03:02
2012,02:12:40
2013,02:10:22
2014,02:08:37
2015,02:09:17
2016,02:12:45
2017,02:09:37
